Dist,fluxKandM1,fluxKandM2,fluxKandM3,,,
244,0.000573324,0.000584103,0.000636348,,,
245,0.000568708,0.000579431,0.000631362,,,
246,0.000564146,0.000574813,0.000626433,,,
247,0.000559637,0.000570248,0.00062156,,,
248,0.000555181,0.000565736,0.000616743,,,
249,0.000550775,0.000561276,0.000611979,,,
250,0.00054642,0.000556867,0.000607269,,,
251,0.000542115,0.000552507,0.000602612,,,
252,0.000537859,0.000548198,0.000598007,,,
253,0.000533651,0.000543937,0.000593453,,,
254,0.000529491,0.000539724,0.000588949,,,
255,0.000525378,0.000535558,0.000584495,,,
256,0.000521311,0.000531439,0.00058009,,,
257,0.000517289,0.000527365,0.000575733,,,
258,0.000513313,0.000523337,0.000571424,,,
259,0.00050938,0.000519354,0.000567162,,,
260,0.000505492,0.000515414,0.000562946,,,
261,0.000501646,0.000511518,0.000558775,,,
262,0.000497842,0.000507665,0.00055465,,,
263,0.000494081,0.000503853,0.000550569,,,
264,0.00049036,0.000500083,0.000546531,,,
265,0.00048668,0.000496354,0.000542537,,,
266,0.00048304,0.000492665,0.000538585,,,
267,0.000479439,0.000489016,0.000534675,,,
268,0.000475878,0.000485407,0.000530806,,,
269,0.000472354,0.000481835,0.000526978,,,
270,0.000468868,0.000478302,0.00052319,,,
271,0.00046542,0.000474807,0.000519442,,,
272,0.000462008,0.000471348,0.000515733,,,
273,0.000458632,0.000467926,0.000512062,,,
274,0.000455293,0.000464541,0.00050843,,,
275,0.000451988,0.00046119,0.000504835,,,
276,0.000448718,0.000457875,0.000501277,,,
277,0.000445482,0.000454594,0.000497755,,,
278,0.00044228,0.000451347,0.000494269,,,
279,0.000439112,0.000448134,0.000490819,,,
280,0.000435976,0.000444954,0.000487404,,,
281,0.000432873,0.000441807,0.000484024,,,
282,0.000429802,0.000438692,0.000480678,,,
283,0.000426762,0.000435609,0.000477365,,,
284,0.000423753,0.000432558,0.000474086,,,
285,0.000420775,0.000429537,0.000470839,,,
286,0.000417828,0.000426547,0.000467625,,,
287,0.00041491,0.000423587,0.000464443,,,
288,0.000412022,0.000420657,0.000461292,,,
289,0.000409163,0.000417757,0.000458173,,,
290,0.000406333,0.000414885,0.000455084,,,
291,0.000403531,0.000412042,0.000452025,,,
292,0.000400757,0.000409228,0.000448997,,,
293,0.00039801,0.000406441,0.000445998,,,
294,0.000395291,0.000403682,0.000443028,,,
295,0.000392599,0.00040095,0.000440087,,,
296,0.000389933,0.000398244,0.000437174,,,
297,0.000387294,0.000395566,0.00043429,,,
298,0.000384681,0.000392913,0.000431433,,,
299,0.000382093,0.000390286,0.000428604,,,
300,0.00037953,0.000387685,0.000425801,,,
301,0.000376992,0.000385109,0.000423025,,,
